Retailer,Residential 2013-14,Residential 2014-15,Residential 2015-16,Residential Q1 2016-17,Residential Q2 2016-17,Residential Q3 2016-17,Small business 2013-14,Small business 2014-15,Small business 2015-16,Small business Q1 2016-17,Small business Q2 2016-17,Small business Q3 2016-17
1st Energy,-,-,24,27,29,48,-,-,5,11,19,4
ActewAGL,915,818,1185,357,290,114,23,24,56,13,6,6
AGL,94043,99931,53358,12260,9880,9408,8596,7709,4721,583,147,110
Australian Power & Gas,1544,-,-, -, -, -,-,-, -, -,275,309
Alinta Energy,-,-,55,65,154,261,-,-,82,0,0,47
Blue NRG,-,-,-,,0,0,3,68,36,0,1,2
Click Energy,131,362,290,77,94,143,1,0,0,0,0,4
CovaU ,2,1108,399,23,17,14,1,407,411,17,13,16
Diamond Energy,14,24,13,7,4,6,-,-,0,0,0,0
EnergyAustralia,26217,26309,15463,3805,4339,4567,1687,2516,2221,347,302,303
Enova Energy,-,-,-,2,0,1, -, -, -,0,0,0
ERM Power,-,-,-,-, -, -,88,166,91,21,18,7
GoEnergy,-,-,2, -, -, -,-,8,46, -,,
Lumo Energy,3812,3054,2659,351,188,90,20,33,17,5,2,4
M2 Energy,4823,862,807,250,203,197,-,5,96,14,20,12
Mojo Power,-,-,-,18,31,66, -, -, -, -,,
Momentum Energy,331,265,102,11,18,14,497,251,109,6,9,6
Next Business Energy,-,-,2,0,0,0,-,-,19,12,11,11
OC Energy, -, -, -, -, -,2, -, -, -, -, -,0
Origin Energy,83491,192837,325425,87528,81262,42869,5670,14098,26679,7867,7065,3942
People Energy, -, -, -, -, -,4, -, -, -, -, -,0
Pooled Energy,0,5,13,4,1,2,-,1,0,0,0,0
Powerdirect,2148,1469,469,368,185,108,1610,1090,225,205,98,40
Powershop,-,1,39,22,17,27,-,-,1,0,0,0
QEnergy,28,22,22,13,3,3,70,107,103,30,23,26
Red Energy,1915,2324,2693,862,997,1638,36,37,40,14,11,15
Sanctuary Energy,701,355,138,8,17,23,24,25,13,0,0,0
Simply Energy,706,1278,1333,401,488,459,11,54,146,38,38,34
Urth,-,-,-,3,7, -, -, -, -,0,0, -
TOTAL,220821,331024,404491,106462,98224,60064,18336,26599,35117,9183,8058,4898
