Retailer,Residential 2013-14,Residential 2014-15,Residential 2015-16,Residential Q1 2016-17,Residential Q2 2016-17,Residential Q3 2016-17,Small business 2013-14,Small business 2014-15,Small Business 2015-16,Small Business 2016-17 Q1,Small Business 2016-17 Q2,Small Business 2016-17 Q3
AGL,26383,29526,13711,2867,2696,2434,1958,2692,1542,262,201,404
Australian Power & Gas,218,-, -, -, -, -,0,0, -, -, -, -
Alinta Energy, -, -, -,1,1,0, -, -, -, -, -, -
Click Energy,230,281,392,114,99,182,5,1,8,2,0,8
Diamond Energy,11,21,11,4,1,2,0,0,0,0,0,0
EnergyAustralia,4582,3861,1621,353,367,480,331,332,147,14,18,21
Ergon Energy,3014,2797,4232,1891,1337,1325,299,335,628,456,310,269
ERM Power Retail,-,-, -, -, -, -,-,-,1,0,0,0
GoEnergy,0,0,0, -, -, -,0,0,4, -, -, -
Locality Planning Energy,-,-,29,26,23,27,-,-,1,1,1,0
Lumo Energy,2038,1988,1848,345,363,349,35,42,466,8,2,5
M2 Energy,972,310,384,117,74,61,0,0,0,0,0,0
Metered Energy Holdings,-,-,1344,862,303,279,-,-,3,0,0,0
Mojo Power,-,-, -,1,1,27, -, -, -, -, -, -
Momentum Energy,2,0,1,0,0,,25,20,1,0,0,0
Origin Energy,43205,105694,185409,47205,40795,22017,1878,4731,12559,3509,3173,1912
People Energy,-,-, -, -, -,1, -, -, -, -, -,0
Powerdirect,2324,2226,422,461,133,46,1101,1787,287,214,94,90
Powershop,-,-, -, -, -,3, -, -, -, -, -,0
QEnergy,28,22,32,12,3,12,31,28,55,21,11,18
Red Energy,-,-, -, -,1,155, -, -, -, -, -,0
Sanctuary Energy,411,342,95,3,16,2,9,6,0,0,0,0
Simply Energy,25,59,90,23,62,126,0,0,0,0,0,0
Urth Energy, -, -, -,3,17, -, -, -, -, -, -, -
TOTAL,83443,147127,209621,54288,46292,27528,5672,9974,15702,4487,3810,2727
