Quarter/Financial year,Residential electricity customers with debt,Average residential electricity debt ($),Residential gas customers with debt,Average residential gas debt ($),Small business electricity customers with debt,Average small business electricity debt ($),Small business gas customers with debt,Average small business gas debt ($)
Sep-12,3371,680,6022,441,298,878,161,1235
Dec-12,3546,739,8677,467,331,1052,182,2073
Mar-13,5137,744,9917,532,708,866,216,2525
Jun-13,4203,794,7126,536,604,803,180,2097
Sep-13,4274,771,6652,485,647,652,188,1632
Dec-13,5059,781,8477,538,703,668,187,3120
Mar-14,5430,854,9817,547,767,638,197,3109
Jun-14,4974,825,7297,551,788,675,195,1537
Sep-14,4507,779,6636,526,686,596,190,1569
Dec-14,5157,802,10556,510,538,827,194,1956
Mar-15,5359,847,12908,490,526,916,209,2642
Jun-15,4461,827,8670,448,455,868,266,1499
Sep-15,3838,821,6552,464,380,904,206,1798
Dec-15,4605,819,12626,466,428,1124,155,3446
Mar-16,5112,943,13659,490,398,1204,165,3285
Jun-16,4442,833,8514,442,380,1158,167,3724
Sep-16,3625,800,5406,512,336,1318,163,3165
Dec-16,4280,795,8418,473,415,1139,186,2830
Mar-17,5189,870,5601,655,421,1115,199,3342
