Quarter/Financial year,Residential electricity customers with debt,Average residential electricity debt ($),Residential gas customers with debt,Average residential gas debt ($),Small business electricity customers with debt,Average small business electricity debt ($),Small business gas customers with debt,Average small business gas debt ($)
Sep-13,105130,671,49504,430,14371,2353,2547,2195
Dec-13,107645,533,59115,367,13647,1600,3038,2034
Mar-14,104671,574,59149,379,13482,1522,2982,1624
Jun-14,107826,529,51461,395,12095,1636,2758,1679
Sep-14,76369,610,44617,422,10624,1869,2435,1831
Dec-14,83026,604,45123,437,7851,2125,2353,1974
Mar-15,84377,642,49585,633,8925,2146,2609,2063
Jun-15,83028,631,48549,444,9656,1972,2681,2057
Sep-15,79495,602,42592,456,9118,2037,2665,2023
Dec-15,86465,614,49598,483,8576,2068,2438,2263
Mar-16,79576,624,48861,509,10310,1779,2437,2313
Jun-16,77924,553,48082,453,10308,1667,2615,2100
Sep-16,68487,624,38606,525,9726,1707,3004,2170
Dec-16,80030,643,44100,512,9753,1837,3019,2386
Mar-17,85801,663,44854,537,11245,1797,3175,2564
