Retailer,ELEC 2009-10,ELEC 2010-11,ELEC 2011-12,ELEC 2012-13,ELEC 2013-14,ELEC 2014-15,ELEC 2015-16,ELEC Q1 2016-17,ELEC Q2 2016-17,ELEC Q3 2016-17,GAS 2009-10,GAS 2010-11,GAS 2011-12,GAS 2012-13,GAS 2013-14,GAS 2014-15,GAS 2015-16,GAS Q1 2016-17,GAS Q2 2016-17,GAS Q3 2016-17
1st Energy, -, -, -, -, -, -,3,13,13,24, -, -, -, -, -, -, -, -, -, -
ActewAGL,-,-,-,-,86,154,152,64,11,6,-,-,-,-,265,544,457,16,37,2
AGL,-,-,-,-,10828,12844,9781,1223,2488,2026,-,-,-,-,3465,4771,2789,360,943,693
Alinta Energy, -, -, -, -, -, -, -,129,182,103,-,-,-,-,-,-,-,-,-,-
Australian Power & Gas,-,-,-,-,1810,-, -, -, -, -,-,-,-,-,324,-,-,-,-,-
Click Energy,-,-,-,-,96,168,58,15,3,35,-,-,-,-,-,-,-,-,-,-
CovaU,-,-,-,-,-,2,84,12,18,21,-,-,-,-,-,-,15,12,5,6
Diamond Energy,-,-,-,-,-,4,26,4,5,4,-,-,-,-,-,-,-,,-,
EnergyAustralia,-,-,-,-,6299,2478,6659,1660,935,1393,-,-,-,-,379,395,1708,260,195,427
Lumo Energy,-,-,-,-,489,597,837,243,70,19,-,-,-,-,92,17,182,84,26,5
M2 Energy,-,-,-,-,20,139,147,16,33,30,-,-,-,-,-,-, -,1,0,3
Momentum Energy,-,-,-,-,47,93,196,49,27,6,-,-,-,-,-,-, -, -, -, -
Next Business Energy,-,-,-,-,-,-,1,9,4,0,-,-,-,-,-,-, -, -, -, -
OC Energy,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-
Origin Energy,-,-,-,-,12655,13400,9669,2079,693,3035,-,-,-,-,396,1828,1238,296,215,733
Powerdirect,-,-,-,-,55,148,322,66,63,154,-,-,-,-,-,-,-,-, -, -
Powershop,-,-,-,-,-,-,18,0,0,10,-,-,-,-,-,-,-,-, -, -
QEnergy ,-,-,-,-,24,40,24,3,4,4,-,-,-,-,-,-,-,-, -, -
Red Energy,-,-,-,-,474,437,771,353,469,560,-,-,-,-,-,-, -,4,21,39
Sanctuary Energy,-,-,-,-,21,14,4,1,0,0,-,-,-,-,-,-,-,-, -, -
Simply Energy,-,-,-,-,36,1461,1313,399,215,344,-,-,-,-,-,-,-,-, -, -
Urth Energy,-,-,-,-,-,-,-,1,0, -,-,-,-,-,-,-,-,-, -, -
TOTAL,15835,18561,23207,24888,32940,31979,30065,6339,5233,7775,14811,17480,20118,7520,4921,7555,6389,1033,1442,1908
