Retailer,ELEC 2009-10,ELEC 2010-11,ELEC 2011-12,ELEC 2012-13,ELEC 2013-14,ELEC 2014-15,ELEC 2015-16,ELEC Q1 2016-17,ELEC Q2 2016-17,ELEC Q3 2016-17,GAS 2009-10,GAS 2010-11,GAS 2011-12,GAS 2012-13,GAS 2013-14,GAS 2014-15,GAS 2015-16,GAS Q1 2016-17,GAS Q2 2016-17,GAS Q3 2016-17
AGL,-,-,-,6123,4271,4274,3145,421,831,1105,-,-,-,1576,1198,1623,1260,199,321,436
Alinta Energy,-,-,-,1038,1163,575,1369,628,859,350,-,-,-,8,215,244,1081,0,0,0
Click Energy,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-
Diamond Energy,-,-,-,-,-,-,2,2,2,4,-,-,-,-,-,-, -, -, -, -
EnergyAustralia,-,-,-,170,423,437,1597,332,154,229,-,-,-,44,42,228,744,167,86,121
Lumo Energy,-,-,-,434,520,371,777,255,219,153,-,-,-,-,-,-,-,-, -, -
M2 Energy,-,-,-,-,-,3,15,6,4,7,-,-,-,-,-,-,-,-, -, -
Momentum Energy,-,-,-,21,45,63,84,22,16,8,-,-,-,-,-,-,-,-, -, -
Origin Energy,-,-,-,1676,2145,2587,2151,367,63,685,-,-,-,1105,1223,1597,1426,263,71,455
Powerdirect,-,-,-,84,119,147,210,84,54,82,-,-,-,-,-,-,-,-, -, -
QEnergy,-,-,-,2,0,9,1,0,0,0,-,-,-,-,-,-,-,-, -, -
Red Energy,-,-,-,58,34,32,44,14,16,27,-,-,-,-,-,-,-,-, -, -
Sanctuary Energy,-,-,-,0,1,2,0,1,0,0,-,-,-,-,-,-,-,-, -, -
Simply Energy,-,-,-,1115,1427,1679,1151,293,194,228,-,-,-,396,740,883,570,215,178,188
TOTAL,4748,7383,9893,10723,10148,10179,10546,2425,2412,2879,3410,2724,4403,3129,3418,4575,5081,844,656,1200
