Postcode,Dwellings
"2000",13838
"2006",17
"2007",3668
"2008",5622
"2009",6468
"2010",16106
"2011",13115
"2015",5034
"2016",7224
"2017",13191
"2018",7334
"2019",4137
"2020",6030
"2021",7898
"2022",5902
"2023",4641
"2024",4833
"2025",3664
"2026",16266
"2027",4698
"2028",2523
"2029",4562
"2030",5576
"2031",15484
"2032",6706
"2033",4863
"2034",9722
"2035",14632
"2036",11316
"2037",8354
"2038",4340
"2039",4155
"2040",9533
"2041",7511
"2042",9480
"2043",4053
"2044",3330
"2045",2415
"2046",11542
"2047",5541
"2048",3561
"2049",5200
"2050",5400
"2052",551
"2060",8051
"2061",3894
"2062",3442
"2063",2266
"2064",4057
"2065",14878
"2066",13466
"2067",11058
"2068",6251
"2069",5083
"2070",4996
"2071",4898
"2072",2841
"2073",5608
"2074",8169
"2075",7469
"2076",8620
"2077",15122
"2079",2422
"2080",602
"2081",1814
"2082",1894
"2083",873
"2084",1208
"2085",4091
"2086",4416
"2087",4490
"2088",13245
"2089",6412
"2090",7033
"2092",2459
"2093",8939
"2094",2699
"2095",8478
"2096",6336
"2097",5699
"2099",16649
"2100",7404
"2101",8015
"2102",2653
"2103",4353
"2104",1676
"2105",959
"2106",3889
"2107",5860
"2108",1347
"2109",954
"2110",3654
"2111",6163
"2112",13079
"2113",7485
"2114",9791
"2115",3957
"2116",2487
"2117",7987
"2118",8502
"2119",3918
"2120",7172
"2121",10111
"2122",11825
"2123",0
"2125",5435
"2126",6166
"2127",6606
"2128",919
"2129",4
"2130",3366
"2131",9772
"2132",3854
"2133",4281
"2134",6060
"2135",8854
"2136",2719
"2137",10491
"2138",8268
"2139",5
"2140",6052
"2141",9365
"2142",9537
"2143",3009
"2144",11167
"2145",27856
"2146",6147
"2147",13266
"2148",22056
"2150",12758
"2151",8348
"2152",4746
"2153",19413
"2154",13743
"2155",16972
"2156",4321
"2157",1215
"2158",2930
"2159",1737
"2160",12478
"2161",10296
"2162",6204
"2163",3419
"2164",6516
"2165",13884
"2166",16750
"2167",3210
"2168",13709
"2170",35996
"2171",9905
"2172",877
"2173",4462
"2174",666
"2175",597
"2176",14246
"2177",4698
"2178",1265
"2179",2265
"2190",8026
"2191",2289
"2192",4873
"2193",6090
"2194",8941
"2195",8975
"2196",10548
"2197",3007
"2198",2888
"2199",5947
"2200",14820
"2203",6275
"2204",11302
"2205",7695
"2206",7114
"2207",10091
"2208",4588
"2209",5838
"2210",11609
"2211",6328
"2212",5706
"2213",7960
"2214",1359
"2216",11397
"2217",10788
"2218",6228
"2219",5927
"2220",11483
"2221",5792
"2222",4827
"2223",8174
"2224",5481
"2225",1824
"2226",4572
"2227",5633
"2228",7462
"2229",11503
"2230",13511
"2231",785
"2232",13168
"2233",10343
"2234",10027
"2250",28144
"2251",14629
"2256",8049
"2257",14377
"2258",1950
"2259",23522
"2260",10213
"2261",24491
"2262",8781
"2263",11239
"2264",6532
"2265",2280
"2267",1367
"2278",914
"2280",11215
"2281",6527
"2282",6006
"2283",10096
"2284",4508
"2285",11937
"2286",1542
"2287",14339
"2289",7848
"2290",13894
"2291",6032
"2292",1190
"2293",1362
"2294",975
"2295",3151
"2296",969
"2297",743
"2298",4218
"2299",4822
"2300",6299
"2302",379
"2303",4420
"2304",6931
"2305",5358
"2306",1561
"2307",1732
"2308",10
"2311",457
"2312",601
"2314",0
"2315",9340
"2316",2780
"2317",3464
"2318",4450
"2319",3144
"2320",13737
"2321",5520
"2322",7285
"2323",10649
"2324",11569
"2325",11753
"2326",2917
"2327",3293
"2328",1139
"2329",1070
"2330",8457
"2331",0
"2333",6203
"2334",1077
"2335",2367
"2336",1170
"2337",3514
"2338",776
"2339",351
"2340",21199
"2341",786
"2342",226
"2343",2358
"2344",315
"2345",305
"2346",1518
"2347",1051
"2350",11149
"2351",12
"2352",1149
"2353",460
"2354",1840
"2355",345
"2356",80
"2357",2035
"2358",1777
"2359",360
"2360",6353
"2361",448
"2365",1724
"2369",402
"2370",3720
"2371",678
"2372",2563
"2379",163
"2380",4630
"2381",562
"2382",696
"2386",204
"2387",106
"2388",1238
"2390",3941
"2395",416
"2396",454
"2397",160
"2398",99
"2399",269
"2400",4731
"2401",144
"2402",857
"2403",315
"2404",971
"2405",282
"2408",204
"2409",396
"2410",152
"2411",54
"2415",190
"2420",1941
"2421",746
"2422",2769
"2423",1719
"2424",225
"2425",824
"2426",325
"2427",1851
"2428",14547
"2429",4448
"2430",15660
"2431",3075
"2439",1230
"2440",9605
"2441",1961
"2443",4744
"2444",22203
"2445",2918
"2446",5383
"2447",3354
"2448",4819
"2449",992
"2450",19139
"2452",6819
"2453",1489
"2454",3435
"2455",1581
"2456",6787
"2460",13001
"2462",1507
"2463",3503
"2464",4174
"2465",154
"2466",1306
"2469",2192
"2470",6496
"2471",1030
"2472",818
"2473",1927
"2474",3108
"2475",203
"2476",472
"2477",5202
"2478",13420
"2479",2071
"2480",19766
"2481",6106
"2482",3017
"2483",5229
"2484",8159
"2485",7983
"2486",14246
"2487",6618
"2488",1475
"2489",3212
"2490",278
"2500",18766
"2502",5200
"2505",2241
"2506",3088
"2508",3174
"2515",4504
"2516",2358
"2517",5527
"2518",8508
"2519",7046
"2522",0
"2525",4353
"2526",5721
"2527",7739
"2528",10361
"2529",9738
"2530",12214
"2533",7133
"2534",2766
"2535",3792
"2536",11561
"2537",7305
"2538",1041
"2539",11860
"2541",11468
"2545",605
"2546",5797
"2548",4482
"2549",1847
"2550",7700
"2551",1832
"2555",74
"2556",785
"2557",2809
"2558",3696
"2559",982
"2560",27717
"2563",106
"2564",4965
"2565",7136
"2566",8790
"2567",12338
"2568",386
"2569",468
"2570",13996
"2571",4123
"2572",1607
"2573",1930
"2574",2068
"2575",6491
"2576",6295
"2577",7259
"2578",1367
"2579",2027
"2580",13674
"2581",983
"2582",5095
"2583",2438
"2584",275
"2585",140
"2586",1521
"2587",1422
"2588",147
"2590",3433
"2594",5241
"2619",3293
"2621",2272
"2622",2275
"2623",303
"2625",711
"2626",197
"2627",3279
"2628",1094
"2629",559
"2630",4330
"2631",380
"2632",960
"2633",245
"2640",16417
"2641",7199
"2642",2035
"2643",1276
"2644",1230
"2645",234
"2646",3385
"2647",1344
"2648",1286
"2649",15
"2650",24441
"2651",806
"2652",2031
"2653",1154
"2655",555
"2656",649
"2658",666
"2659",359
"2660",703
"2661",58
"2663",1837
"2665",1060
"2666",2617
"2668",220
"2669",891
"2671",1985
"2672",694
"2675",760
"2678",4
"2680",9604
"2681",711
"2700",2380
"2701",964
"2702",332
"2703",305
"2705",4446
"2706",538
"2707",671
"2710",5013
"2711",1811
"2712",701
"2713",1436
"2714",1488
"2715",826
"2716",582
"2717",605
"2720",3821
"2721",138
"2722",1502
"2725",201
"2726",126
"2727",171
"2729",787
"2730",713
"2731",3044
"2732",1009
"2733",354
"2734",214
"2735",184
"2736",197
"2737",385
"2738",687
"2739",699
"2745",9665
"2747",15789
"2748",588
"2749",5748
"2750",18343
"2752",1659
"2753",6450
"2754",2177
"2755",4
"2756",12401
"2757",301
