Retailer,ELEC June 2013,ELEC June 2014,ELEC June 2015,ELEC June 2016,ELEC Sep 2016,ELEC Dec 2016,ELEC March 2017,GAS June 2013,GAS June 2014,GAS June 2015,GAS June 2016,GAS Sept 2016,GAS Dec 2016,GAS March 2017
AGL,1332,2617,2519,4966,5397,5146,4604,165,304,284,776,868,817,694
Australian Power & Gas,174,-,-, -, -, -, -,8,-,-,-,-,-,-
Click Energy,169,18,266,434,554,516,387,-,-,-,-,-,-,-
Diamond Energy,0,6,8,13,11,15,17,-,-,-,-,-,-,-
EnergyAustralia,300,747,1664,1093,899,875,895,-,-,-,-,-,-,-
Ergon Energy,3822,3209,5515,6321,6311,6726,6642,-,-,-,-,-,-,-
Lumo Energy,164,282,302,391,362,360,37,-,-,-,-,-,-,-
M2 Energy,27,88,266,264,304,312,357,-,-,-,-,-,-,-
Metered Energy Holdings,-,-,-,14,26,25,8,-,-,-,-, -, -, -
Origin Energy,3189,2370,4330,4729,5498,5270,5932,115,86,213,282,356,366,373
Powerdirect,31,37,95,143,172,172,157,-,-,-,-,-,-,-
QEnergy,22,28,34,40,59,69,89,-,-,-,-,-,-,-
Red Energy,-,-,-,-,-,-,310,-,-,-,-,-,-,-
Sanctuary Energy,0,0,4,13,8,0,1,-,-,-,-,-,-,-
Simply Energy,0,0,0,2,5,6,7,-,-,-,-,-,-,-
TOTAL,9230,9402,15003,18423,19606,19492,19443,288,390,497,1058,1224,1183,1067
