Retailer,ELEC June 2013,ELEC June 2014,ELEC June 2015,ELEC June 2016,ELEC Sep 2016,ELEC Dec 2016,ELEC March 2017,GAS June 2013,GAS June 2014,GAS June 2015,GAS June 2016,GAS Sep 2016,GAS Dec 2016,GAS March 2017
AGL,3654,4036,4711,7440,7791,7002,5323,1094,1340,1723,3159,3390,2897,2151
Alinta Energy,87,21,490,383,469,561,730,5,8,153,106,135,147,189
Click Energy,-,-,-,-,5,8,5,-,-,-,-,-,-,-
Diamond Energy,0,0,0,3,6,3,4,-,-,-,-,-,-,-
EnergyAustralia,464,786,2017,1471,1285,1288,1294,126,233,609,478,385,363,362
Lumo Energy,139,259,226,242,256,273,242,-,-,-,-,-,-,-
M2 Energy,0,0,32,68,94,115,133,-,-,-,-,-,-,-
Momentum Energy,16,54,108,83,85,96,102,-,-,-,-,-,-,-
Origin Energy,1486,2309,2192,2295,2595,2537,2821,592,769,931,1143,1301,1312,1338
Powerdirect,87,88,120,188,196,196,204,-,-,-,-,-,-,-
QEnergy,0,0,0,1,3,3,3,-,-,-,-,-,-,-
Red Energy,26,33,22,25,21,19,16,-,-,-,-,-,-,-
Sanctuary Energy,0,7,0,0,1,0,0,-,-,-,-,-,-,-
Simply Energy,476,1010,1371,1445,1620,1748,1650,184,451,675,744,862,946,853
TOTAL,6435,8603,11289,13644,14427,13849,12527,2001,2801,4091,5630,6073,5665,4893
