Retailer,ELEC Sep 2015,ELEC Dec 2015,ELEC Mar 2016,ELEC June 2016,ELEC Sep 2016,ELEC Dec 2016,ELEC March 2017,GAS Sep 2015,GAS Dec 2015,GAS Mar 2016,GAS June 2016,GAS Sep 2016,GAS Dec 2016,GAS March 2017
AGL,1662,1664,3343,3637,3313,3844,5270,109,136,298,275,265,336,345
Click Energy,752,814,802,744,688,660,1022,-,-,-,-,-,-,-
Diamond Energy,0,80,91,99,75,71,121,-,-,-,-,-,-,-
EnergyAustralia,14051,9582,15418,11189,11570,11398,12447,-,-,-,-,-,-,-
Ergon Energy,11224,10607,10248,15483,10020,9368,13992,-,-,-,-,-,-,-
Locality Planning Energy,0,4,5,8,10,10,16,-,-,-,-,-,-,-
Lumo Energy,2323,2200,2225,2534,2418,2408,1963,-,-,-,-,-,-,-
M2 Energy,23,29,21,32,44,36,30,-,-,-,-,-,-,-
Metered Energy Holdings,83,64,191,111,72,71,153,-,-,-,-,-,-,-
Mojo Power,-,-,-,-,-, -,3,-,-,-,-,-,-,-
Momentum Energy,1,0,0,0,0,0,0,-,-,-,-,-,-,-
Origin Energy,5350,4498,4528,4532,4615,3549,5099,463,451,402,396,484,630,1265
People Energy,-,-,-,-, -, -,2,-,-,-,-,-,-,-
Powerdirect,164,205,250,334,396,364,387,-,-,-,-,-,-,-
Powershop,-,-,-,-, -, -,1,-,-,-,-,-,-,-
QEnergy,99,92,106,110,118,101,98,-,-,-,-,-,-,-
Red Energy, -, -, -, -, -,5,1729, -, -, -, -, -, -, -
Sanctuary Energy,13,17,32,35,23,15,19,-,-,-,-,-,-,-
Simply Energy,5,3,6,10,7,6,9,-,-,-,-,-,-,-
TOTAL,35750,29859,37266,38858,33369,31906,42361,572,587,700,671,749,966,1610
