Retailer,ELEC June 2013,ELEC June 2014,ELEC June 2015,ELEC June 2016,ELEC Sep 2016,ELEC Dec 2016,ELEC March 2017,GAS June 2013,GAS June 2014,GAS June 2015,GAS June 2016,GAS Sep 2016,GAS Dec 2016,GAS March 2017
AGL,3458,2978,2231,2865,3218,3857,3502,309,391,376,591,713,867,705
Alinta Energy,1439,1712,1450,1071,478,1076,1042,122,308,345,230,96,288,201
Click Energy,-,-,-,1,16,19,35,-,-,-,-,-,-,-
Diamond Energy,1,3,17,35,27,24,49,-,-,-,-,-,-,-
EnergyAustralia,8862,7969,8122,8628,9223,9289,9380,3898,3941,4357,4645,5076,5152,5150
Lumo Energy,1703,1452,1470,1273,1262,1363,1266,-,-,-,-,-,-,-
M2 Energy,0,0,6,7,16,21,24,-,-,-,-,-,-,-
Momentum Energy,33,308,159,58,340,337,151,-,-,-,-,-,-,-
Origin Energy,2309,6671,1909,1461,1768,1579,2158,1019,3999,1075,834,954,805,1008
Pacific Hydro,-,-,-,1,0,3,4,-,-,-,-,-,-,-
Powerdirect,157,225,208,250,302,314,293,-,-,-,-,-,-,-
Qenergy,-,-,-,-,2,6,5,-,-,-,-,-,-,-
Red Energy,264,179,140,125,126,123,134,-,-,-,-,-,-,-
Sanctuary Energy,7,3,5,10,15,8,8,-,-,-,-,-,-,-
Savant Energy,-,-,-,11,11,0,0,-,-,-,-,-,-,-
Simply Energy,2673,2244,2176,1511,1444,1367,1475,667,678,737,541,575,544,570
TOTAL,20906,23744,17893,17307,18248,19386,19526,6015,9317,6890,6841,7414,7656,7634
