council,division,state district,federal district,locality,postcode,region
Aurukun Shire,Aurukun Shire,Cook,Leichhardt,AURUKUN,4892,Regional
Balonne Shire,Balonne Shire,Warrego,Maranoa,BOLLON,4488,Regional
Balonne Shire,Balonne Shire,Warrego,Maranoa,DAYMAR,4497,Regional
Balonne Shire,Balonne Shire,Warrego,Maranoa,DIRRANBANDI,4486,Regional
Balonne Shire,Balonne Shire,Warrego,Maranoa,HEBEL,4486,Regional
Balonne Shire,Balonne Shire,Warrego,Maranoa,MUNGINDI,2406,Regional
Balonne Shire,Balonne Shire,Warrego,Maranoa,NINDIGULLY,4497,Regional
Balonne Shire,Balonne Shire,Warrego,Maranoa,ST GEORGE,4487,Regional
Balonne Shire,Balonne Shire,Warrego,Maranoa,TALWOOD,4496,Regional
Balonne Shire,Balonne Shire,Warrego,Maranoa,THALLON,4497,Regional
Banana Shire,Division 1,Callide,Flynn,BILOELA,4715,Regional
Banana Shire,Division 2,Callide,Flynn,BILOELA,4715,Regional
Banana Shire,Division 2,Callide,Flynn,PROSPECT,4715,Regional
Banana Shire,Division 2,Callide,Flynn,VALENTINE PLAINS,4715,Regional
Banana Shire,Division 3,Callide,Flynn,ARGOON,4702,Regional
Banana Shire,Division 3,Callide,Flynn,BILOELA,4715,Regional
Banana Shire,Division 3,Callide,Flynn,CALLIDE,4715,Regional
Banana Shire,Division 3,Callide,Flynn,CASTLE CREEK,4715,Regional
Banana Shire,Division 3,Callide,Flynn,DAKENBA,4715,Regional
Banana Shire,Division 3,Callide,Flynn,DUMGREE,4715,Regional
Banana Shire,Division 3,Callide,Flynn,LAWGI DAWES,4716,Regional
Banana Shire,Division 3,Callide,Flynn,MOUNT MURCHISON,4715,Regional
Banana Shire,Division 3,Callide,Flynn,ORANGE CREEK,4715,Regional
Banana Shire,Division 3,Callide,Flynn,PROSPECT,4715,Regional
Banana Shire,Division 3,Callide,Flynn,THANGOOL,4716,Regional
Banana Shire,Division 3,Callide,Flynn,VALENTINE PLAINS,4715,Regional
Banana Shire,Division 4,Callide,Flynn,ALBERTA,4702,Regional
Banana Shire,Division 4,Callide,Flynn,ARGOON,4702,Regional
Banana Shire,Division 4,Callide,Flynn,BANANA,4702,Regional
