Postcode,Technology,Tank capacity (litres),Booster,Collector,Collector circuit,Configuration,
4814,Solar,150,Electric,,,Split,
4350,Solar,270,Electric,,,Split,
4129,Solar,250,Electric,,,Split,
4216,Solar,300,Electric,,,Split,
4216,Solar,300,Electric,Flat,Closed,Close coupled,
4214,Solar,300,Electric,Flat,Closed,Split,
4361,Solar,125,Electric,,,Split,
4510,Solar,150,Electric,,,Split,
4025,Solar,154,Electric,,,Close coupled,
4032,Solar,154,Electric,,,Close coupled,
4067,Solar,154,Electric,,,Close coupled,
4067,Solar,154,Electric,,,Close coupled,
4067,Solar,154,Electric,,,Close coupled,
4067,Solar,154,Electric,,,Close coupled,
4078,Solar,154,Electric,,,Close coupled,
4101,Solar,154,Electric,,,Close coupled,
4110,Solar,154,Electric,,,Close coupled,
4110,Solar,154,Electric,,,Close coupled,
4110,Solar,154,Electric,,,Close coupled,
4113,Solar,154,Electric,,,Close coupled,
4113,Solar,154,Electric,,,Close coupled,
4114,Solar,154,Electric,,,Close coupled,
4118,Solar,154,Electric,,,Close coupled,
4127,Solar,154,Electric,,,Close coupled,
4133,Solar,154,Electric,,,Close coupled,
4159,Solar,154,Electric,,,Close coupled,
4159,Solar,154,Electric,,,Close coupled,
4159,Solar,154,Electric,,,Close coupled,
4159,Solar,154,Electric,,,Close coupled,
4159,Solar,154,Electric,,,Close coupled,
4160,Solar,154,Electric,,,Close coupled,
4178,Solar,154,Electric,,,Close coupled,
4205,Solar,154,Electric,Flat,Closed,Close coupled,
4205,Solar,154,Electric,,,Close coupled,
4205,Solar,154,Electric,,,Close coupled,
4205,Solar,154,Electric,,,Close coupled,
4205,Solar,154,Electric,,,Close coupled,
4205,Solar,154,Electric,,,Close coupled,
4205,Solar,154,Electric,,,Close coupled,
4205,Solar,154,Electric,,,Close coupled,
4205,Solar,154,Electric,,,Close coupled,
4205,Solar,154,Electric,,,Close coupled,
4205,Solar,154,Electric,,,Close coupled,
4205,Solar,154,Electric,,,Close coupled,
4205,Solar,154,Electric,,,Close coupled,
4205,Solar,154,Electric,,,Close coupled,
4205,Solar,154,Electric,,,Close coupled,
4205,Solar,154,Electric,,,Close coupled,
4205,Solar,154,Electric,,,Close coupled,
4205,Solar,154,Electric,,,Close coupled,
4205,Solar,154,Electric,,,Close coupled,
4205,Solar,154,Electric,,,Close coupled,
4205,Solar,154,Electric,,,Close coupled,
4205,Solar,154,Electric,,,Close coupled,
4205,Solar,154,Electric,,,Close coupled,
4205,Solar,154,Electric,,,Close coupled,
4205,Solar,154,Electric,,,Close coupled,
4205,Solar,154,Electric,,,Close coupled,
4205,Solar,154,Electric,,,Close coupled,
4205,Solar,154,Electric,,,Close coupled,
4205,Solar,154,Electric,,,Close coupled,
4205,Solar,154,Electric,,,Split,
4205,Solar,154,Electric,,,Close coupled,
4205,Solar,154,Electric,,,Close coupled,
4205,Solar,154,Electric,,,Close coupled,
4205,Solar,154,Electric,,,Close coupled,
4205,Solar,154,Electric,,,Close coupled,
4205,Solar,154,Electric,,,Close coupled,
4205,Solar,154,Electric,,,Close coupled,
4205,Solar,154,Electric,,,Close coupled,
4205,Solar,154,Electric,,,Close coupled,
4205,Solar,154,Electric,,,Close coupled,
4205,Solar,154,Electric,,,Close coupled,
4205,Solar,154,Electric,,,Close coupled,
4205,Solar,154,Electric,,,Close coupled,
4205,Solar,154,Electric,,,Close coupled,
4205,Solar,154,Electric,,,Close coupled,
4205,Solar,154,Electric,,,Close coupled,
4205,Solar,154,Electric,,,Close coupled,
4205,Solar,154,Electric,,,Close coupled,
4205,Solar,154,Electric,,,Close coupled,
4205,Solar,154,Electric,,,Close coupled,
4205,Solar,154,Electric,,,Close coupled,
4205,Solar,154,Electric,,,Close coupled,
4205,Solar,154,Electric,,,Close coupled,
4205,Solar,154,Electric,,,Close coupled,
4205,Solar,154,Electric,,,Close coupled,
4205,Solar,154,Electric,,,Close coupled,
4205,Solar,154,Electric,,,Close coupled,
4205,Solar,154,Electric,,,Close coupled,
4205,Solar,154,Electric,,,Close coupled,
4205,Solar,154,Electric,,,Close coupled,
4205,Solar,154,Electric,,,Close coupled,
4205,Solar,154,Electric,,,Close coupled,
4205,Solar,154,Electric,,,Close coupled,
4205,Solar,154,Electric,,,Close coupled,
4205,Solar,154,Electric,,,Close coupled,
4205,Solar,154,Electric,,,Close coupled,
4205,Solar,154,Electric,,,Close coupled,
4205,Solar,154,Electric,,,Close coupled,
4205,Solar,154,Electric,,,Close coupled,
4205,Solar,154,Electric,,,Close coupled,
4205,Solar,154,Electric,,,Close coupled,
4205,Solar,154,Electric,,,Close coupled,
4205,Solar,154,Electric,,,Close coupled,
4205,Solar,154,Electric,,,Close coupled,
4205,Solar,154,Electric,,,Close coupled,
4205,Solar,154,Electric,,,Close coupled,
4205,Solar,154,Electric,,,Close coupled,
4205,Solar,154,Electric,,,Close coupled,
4205,Solar,154,Electric,,,Close coupled,
4205,Solar,154,Electric,,,Close coupled,
4205,Solar,154,Electric,,,Close coupled,
4205,Solar,154,Electric,,,Close coupled,
4205,Solar,154,Electric,,,Close coupled,
4205,Solar,154,Electric,,,Close coupled,
4205,Solar,154,Electric,,,Close coupled,
4205,Solar,154,Electric,,,Close coupled,
4205,Solar,154,Electric,,,Close coupled,
4205,Solar,154,Electric,,,Close coupled,
4205,Solar,154,Electric,,,Close coupled,
4205,Solar,154,Electric,,,Close coupled,
4205,Solar,154,Electric,,,Close coupled,
4205,Solar,154,Electric,,,Close coupled,
4205,Solar,154,Electric,,,Close coupled,
4205,Solar,154,Electric,,,Close coupled,
4205,Solar,154,Electric,,,Close coupled,
4205,Solar,154,Electric,,,Close coupled,
4205,Solar,154,Electric,,,Close coupled,
4205,Solar,154,Electric,,,Close coupled,
4205,Solar,154,Electric,,,Close coupled,
4205,Solar,154,Electric,,,Close coupled,
4205,Solar,154,Electric,,,Close coupled,
4205,Solar,154,Electric,,,Close coupled,
4205,Solar,154,Electric,,,Close coupled,
4205,Solar,154,Electric,,,Close coupled,
4207,Solar,154,Electric,,,Close coupled,
4207,Solar,154,Electric,,,Close coupled,
4207,Solar,154,Electric,,,Close coupled,
4207,Solar,154,Electric,,,Close coupled,
4207,Solar,154,Electric,,,Close coupled,
4208,Solar,154,Electric,,,Close coupled,
4211,Solar,154,Electric,,,Close coupled,
4212,Solar,154,Electric,,,Close coupled,
4212,Solar,154,Electric,,,Close coupled,
4214,Solar,154,Electric,,,Close coupled,
4215,Solar,154,Electric,,,Close coupled,
4216,Solar,154,Electric,,,Close coupled,
4216,Solar,154,Electric,,,Close coupled,
4216,Solar,154,Electric,,,Close coupled,
4216,Solar,154,Electric,,,Close coupled,
4216,Solar,154,Electric,,,Close coupled,
4216,Solar,154,Electric,,,Close coupled,
4216,Solar,154,Electric,,,Close coupled,
4218,Solar,154,Electric,,,Close coupled,
4220,Solar,154,Electric,,,Close coupled,
4221,Solar,154,Electric,,,Close coupled,
4226,Solar,154,Electric,,,Close coupled,
4300,Solar,154,Electric,,,Close coupled,
4305,Solar,154,Electric,,,Close coupled,
4350,Solar,154,Electric,,,Close coupled,
4879,Solar,154,Electric,,,Close coupled,
4170,Solar,160,Electric,,,Split,
4218,Solar,160,Electric,,,Split,
4031,Solar,170,Electric,,,Split,
4011,Solar,180,Electric,,,Close coupled,
4018,Solar,180,Electric,,,Close coupled,
4018,Solar,180,Electric,,,Close coupled,
4018,Solar,180,Electric,,,Close coupled,
4019,Solar,180,Electric,Flat,Open,Close coupled,
4019,Solar,180,Electric,Flat,Open,Close coupled,
4019,Solar,180,Electric,Flat,Open,Close coupled,
4020,Solar,180,Electric,Flat,Open,Close coupled,
4020,Solar,180,Electric,,,Close coupled,
4035,Solar,180,Electric,,,Close coupled,
4035,Solar,180,Electric,,,Close coupled,
4051,Solar,180,Electric,Flat,Open,Close coupled,
4051,Solar,180,Electric,,,Close coupled,
4054,Solar,180,Electric,,,Close coupled,
4064,Solar,180,Electric,,,Close coupled,
4065,Solar,180,Electric,,,Close coupled,
4069,Solar,180,Electric,Flat,Open,Close coupled,
4074,Solar,180,Electric,Flat,Closed,Close coupled,
4078,Solar,180,Electric,,,Close coupled,
4103,Solar,180,Electric,,,Close coupled,
4103,Solar,180,Electric,,,Close coupled,
4103,Solar,180,Electric,,,Close coupled,
4104,Solar,180,Electric,Flat,Open,Close coupled,
4104,Solar,180,Electric,,,Close coupled,
4109,Solar,180,Electric,,,Close coupled,
4113,Solar,180,Electric,,,Close coupled,
4115,Solar,180,Electric,Flat,Open,Close coupled,
4115,Solar,180,Electric,,,Close coupled,
4118,Solar,180,Electric,,,Close coupled,
4120,Solar,180,Electric,Flat,Open,Close coupled,
4120,Solar,180,Electric,,,Close coupled,
4122,Solar,180,Electric,,,Close coupled,
4122,Solar,180,Electric,,,Close coupled,
4123,Solar,180,Electric,,,Close coupled,
4125,Solar,180,Electric,,,Close coupled,
4128,Solar,180,Electric,,,Close coupled,
4133,Solar,180,Electric,,,Close coupled,
4133,Solar,180,Electric,,,Close coupled,
4133,Solar,180,Electric,,,Close coupled,
4152,Solar,180,Electric,,,Close coupled,
4152,Solar,180,Electric,,,Close coupled,
4152,Solar,180,Electric,,,Close coupled,
4153,Solar,180,Electric,,,Close coupled,
4157,Solar,180,Electric,,,Close coupled,
4159,Solar,180,Electric,Flat,Closed,Close coupled,
4159,Solar,180,Electric,,,Close coupled,
4163,Solar,180,Electric,,,Close coupled,
4165,Solar,180,Electric,Flat,Closed,Close coupled,
4165,Solar,180,Electric,,,Close coupled,
4165,Solar,180,Electric,,,Close coupled,
4170,Solar,180,Electric,,,Close coupled,
4170,Solar,180,Electric,,,Close coupled,
4173,Solar,180,Electric,,,Close coupled,
4174,Solar,180,Electric,,,Close coupled,
4178,Solar,180,Electric,,,Close coupled,
4179,Solar,180,Electric,,,Close coupled,
4179,Solar,180,Electric,,,Close coupled,
4183,Solar,180,Electric,,,Close coupled,
4184,Solar,180,Electric,,,Split,
4184,Solar,180,Electric,,,Close coupled,
4207,Solar,180,Electric,,,Close coupled,
4207,Solar,180,Electric,,,Close coupled,
4210,Solar,180,Electric,,,Close coupled,
4210,Solar,180,Electric,,,Close coupled,
4211,Solar,180,Electric,,,Close coupled,
4213,Solar,180,Electric,,,Split,
4213,Solar,180,Electric,,,Close coupled,
4214,Solar,180,Electric,Flat,Open,Split,
4214,Solar,180,Electric,,,Close coupled,
4215,Solar,180,Electric,,,Close coupled,
4215,Solar,180,Electric,Flat,Open,Close coupled,
4215,Solar,180,Electric,Flat,Open,Close coupled,
4215,Solar,180,Electric,,,Close coupled,
4215,Solar,180,Electric,,,Close coupled,
4215,Solar,180,Electric,,,,
4215,Solar,180,Electric,,,Close coupled,
4216,Solar,180,Electric,Flat,Open,Close coupled,
4216,Solar,180,Electric,,,Close coupled,
4216,Solar,180,Electric,,,Close coupled,
4216,Solar,180,Electric,,,Close coupled,
4216,Solar,180,Electric,,,Close coupled,
4216,Solar,180,Electric,,,Close coupled,
4216,Solar,180,Electric,,,Close coupled,
4219,Solar,180,Electric,,,Close coupled,
4220,Solar,180,Electric,Flat,Open,Close coupled,
4220,Solar,180,Electric,,,Close coupled,
4220,Solar,180,Electric,,,Close coupled,
4220,Solar,180,Electric,,,Close coupled,
4220,Solar,180,Electric,,,Close coupled,
4221,Solar,180,Electric,Flat,Open,Close coupled,
4221,Solar,180,Electric,,,Close coupled,
4221,Solar,180,Electric,,,Close coupled,
4301,Solar,180,Electric,,,Close coupled,
4304,Solar,180,Electric,,,Close coupled,
4472,Solar,180,Electric,,,Close coupled,
4501,Solar,180,Electric,,,Close coupled,
4505,Solar,180,Electric,Flat,Open,Close coupled,
4505,Solar,180,Electric,Flat,Open,Close coupled,
4505,Solar,180,Electric,Flat,Open,Close coupled,
4505,Solar,180,Electric,,,Close coupled,
4505,Solar,180,Electric,,,Close coupled,
4506,Solar,180,Electric,,,Close coupled,
4508,Solar,180,Electric,,,Close coupled,
4519,Solar,180,Electric,,,Close coupled,
4519,Solar,180,Electric,,,Close coupled,
4519,Solar,180,Electric,,,Close coupled,
4519,Solar,180,Electric,,,Close coupled,
4519,Solar,180,Electric,,,Close coupled,
4551,Solar,180,Electric,Flat,Open,Close coupled,
4551,Solar,180,Electric,,,Close coupled,
4551,Solar,180,Electric,,,Close coupled,
4551,Solar,180,Electric,,,Close coupled,
4551,Solar,180,Electric,,,Close coupled,
4551,Solar,180,Electric,,,Close coupled,
4552,Solar,180,Electric,,,Close coupled,
4552,Solar,180,Electric,,,Close coupled,
4556,Solar,180,Electric,Flat,Open,Close coupled,
4556,Solar,180,Electric,Flat,Open,Close coupled,
4556,Solar,180,Electric,Flat,Open,Close coupled,
4556,Solar,180,Electric,,,Close coupled,
4556,Solar,180,Electric,,,Close coupled,
4556,Solar,180,Electric,,,Close coupled,
4556,Solar,180,Electric,,,Close coupled,
4556,Solar,180,Electric,,,Close coupled,
4557,Solar,180,Electric,,,Close coupled,
4558,Solar,180,Electric,Flat,Open,Close coupled,
4558,Solar,180,Electric,Flat,Open,Close coupled,
4558,Solar,180,Electric,Flat,Open,Close coupled,
4558,Solar,180,Electric,Flat,Open,Close coupled,
4558,Solar,180,Electric,Flat,Open,Close coupled,
4558,Solar,180,Electric,,,Close coupled,
4558,Solar,180,Electric,,,Close coupled,
4558,Solar,180,Electric,,,Close coupled,
4560,Solar,180,Electric,,,Close coupled,
4560,Solar,180,Electric,,,Close coupled,
4560,Solar,180,Electric,,,Close coupled,
4560,Solar,180,Electric,,,Close coupled,
